given_order,group,subgroup,variable,name,wording,filter,hide_bind,sk_notes
327,Exposure,Activism,CC417a_3,,,,bind,
328,Exposure,Activism,CC417a_4,,,,bind,
329,Exposure,Activism,CC417a_5,,,,bind,
330,Exposure,Activism,CC417a_6,,,,bind,
331,Exposure,Activism,CC417bx,Political donations or contributions,,,,"I created this row, multiple response for CC417bx_[1-9]"
332,Exposure,Activism,CC417bx_1,,,,bind,
333,Exposure,Activism,CC417bx_2,,,,bind,
334,Exposure,Activism,CC417bx_3,,,,bind,
335,Exposure,Activism,CC417bx_4,,,,bind,
336,Exposure,Activism,CC417bx_5,,,,bind,
337,Exposure,Activism,CC417bx_6,,,,bind,
338,Exposure,Activism,CC417bx_7,,,,bind,
339,Exposure,Activism,CC417bx_8,,,,bind,
340,Exposure,Activism,CC417bx_9,,,,bind,
341,Exposure,Activism,CC417bx_t,,,,hide,
342,Exposure,Activism,CC417c,Total political donations or contributions,Approximately how much did you contribute to all candidates and committees over the last year?,,,
343,Exposure,Activism,CC418a,Ran for any elective office,"Have you ever run for elective office at any level of government (local, state or federal)?",,,
344,Exposure,Activism,CC418bx,Ran for elective office,,,,"I created row, multiple response for 418bx_[1-11]"
345,Exposure,Activism,CC418bx_1,,,,bind,
346,Exposure,Activism,CC418bx_2,,,,bind,
347,Exposure,Activism,CC418bx_3,,,,bind,
348,Exposure,Activism,CC418bx_4,,,,bind,
349,Exposure,Activism,CC418bx_5,,,,bind,
350,Exposure,Activism,CC418bx_6,,,,bind,
351,Exposure,Activism,CC418bx_7,,,,bind,
352,Exposure,Activism,CC418bx_8,,,,bind,
353,Exposure,Activism,CC418bx_9,,,,bind,
354,Exposure,Activism,CC418bx_10,,,,bind,
355,Exposure,Activism,CC418bx_11,,,,bind,
356,Exposure,Activism,CC418b_t,,,,hide,
357,Identity and Attitudes,PID,CC421a,PID (post),"Generally speaking, do you think of yourself as a ... ?",,,
358,Identity and Attitudes,PID,CC421_t,,,,hide,
359,Identity and Attitudes,PID,CC421_dem,PID strong or weak Democrat (post),Would you call yourself a strong Democrat or not so strong Democrat?,,,
360,Identity and Attitudes,PID,CC421_rep,PID strong or weak Republican (post),Would you call yourself a strong Republican or not so strong Republican?,,,
361,Identity and Attitudes,Party,CC421b,Perceived proximity to party,Do you think of yourself as closer to the Democratic or the Republican party?,,,
362,Identity and Attitudes,Racial Resentment,CC422a,Racial resentment scale - special favors,"The Irish, Italians, Jews and many other minorities overcame prejudice and worked their way up. Blacks should do the same without any special favors.",,,
363,Identity and Attitudes,Racial Resentment,CC422b,Racial resentment scale - slavery,Generations of slavery and discrimination have created conditions that make it difficult for Blacks to work their way out of the lower class.,,,
364,Perception,Race,CC423,Perceived race or ethnicity of candidates,What is the race or ethnicity of the following candidates or politicians?,,,
365,Perception,Race,CC423a_other,,,,bind,
366,Perception,Race,CC423b_other,,,,bind,
367,Perception,Race,CC423c_other,,,,bind,
368,Identity and Attitudes,Approval,CC424,Attitude towards the Tea Party movement,What is your view of the Tea Party movement?,,,
369,Exposure,Contacted,CC425a,2014 self-reported contact from political campaign,Did a candidate or political campaign organization contact you during the 2014 election?,,,
370,Exposure,Contacted,CC425b,Political campaign contact method,,,,
371,Exposure,Contacted,CC425b_1,,,,bind,
372,Exposure,Contacted,CC425b_2,,,,bind,
373,Exposure,Contacted,CC425b_3,,,,bind,
374,Exposure,Contacted,CC425b_4,,,,bind,
375,Issues,Budget and Tax,CC426,Policy priorities for state legislatures,State legislatures must make choices when making spending decisions on important state programs.  How would you like your legislature to spend money on each of the five areas below?,,,
376,"Health, Employment and Income",Loans,edloan,Responsible for student loan,,,,
377,Administration,Imputations,impute_OKGovvote_post,Oklahoma governor vote was imputed (post),,,hide,
378,Administration,Imputations,impute_ILjudgevote_post,Illinois judicial vote was imputed,,,hide,
379,Administration,Response,tookpost,Took post survey,,,,
380,Validation,Validation,matched,2014 matched to voter file,,,,
381,Validation,Registration,voterstatus,Validated registration status,,,,
382,Validation,Registration,state_cl,Validated registration state,,,,
383,Validation,Registration,partyaffiliation,Validated party affiliation,,,,
384,Validation,Turnout,e2014gvm,2014 general validated turnout,,,,
385,Validation,Turnout,e2014pep,2014 primary validated party ballot,,,,
386,Validation,Turnout,e2014pvm,2014 primary validated turnout,,,,
387,Administration,Time,starttime,Start time (pre),,,,
388,Administration,Time,endtime,End time (post),,,,
389,Administration,Time,starttime_post,Start time (pre),,,,
390,Administration,Time,endtime_post,End time (post),,,,
